iter	Passed	Remaining
0	1	140
1	2	120
2	3	110
3	4	101
4	5	103
5	9	141
6	10	137
7	11	134
8	12	128
9	13	123
10	14	119
11	15	115
12	16	112
13	17	109
14	18	106
15	19	103
16	22	109
17	25	114
18	26	112
19	27	109
20	28	106
21	29	104
22	30	101
23	31	99
24	32	96
25	33	94
26	34	92
27	35	92
28	39	95
29	40	94
30	41	92
31	42	90
32	43	88
33	44	86
34	45	84
35	46	82
36	47	81
37	48	79
38	49	77
39	52	78
40	54	78
41	55	76
42	56	74
43	57	73
44	58	71
45	59	69
46	60	68
47	61	66
48	62	64
49	63	63
50	64	61
51	67	62
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	53
58	75	52
59	76	50
60	77	49
61	78	47
62	79	46
63	83	46
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	92	34
73	93	32
74	96	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	110	18
86	113	17
87	115	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	125	3
97	128	2
98	130	1
99	131	0
